gene	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	regulation
ENSG00000227232	245	223	110	30	49	86	111	122	UP
ENSG00000278267	42	36	17	4	0	9	20	10	UP
ENSG00000238009	1	4	4	0	1	2	8	1	UP
ENSG00000233750	3	3	2	0	1	0	4	6	UP
ENSG00000268903	40	76	5	1	0	10	61	55	UP
ENSG00000269981	62	123	17	3	4	29	106	92	UP
ENSG00000239906	2	1	1	1	0	0	2	1	UP
ENSG00000241860	56	60	17	3	10	25	54	59	UP
ENSG00000279928	1	7	3	2	1	3	0	1	UP
ENSG00000279457	828	585	316	71	161	287	400	349	UP
ENSG00000228463	47	17	11	2	36	14	0	1	UP
ENSG00000237094	32	24	20	4	12	8	13	18	UP
ENSG00000230021	1	1	0	0	5	0	3	3	UP
ENSG00000225972	68	10	6	0	4	3	10	4	UP
ENSG00000225630	14545	3385	2313	578	1665	1954	2673	2003	UP
ENSG00000237973	10104	2678	982	244	629	749	4721	3630	UP
ENSG00000229344	147	28	9	0	2	17	19	16	UP
ENSG00000248527	65801	16953	8962	2008	6339	7680	12314	8421	UP
ENSG00000198744	171	25	17	3	10	13	27	21	UP
ENSG00000229376	4	13	1	0	2	6	3	8	UP
ENSG00000228327	682	421	345	98	210	342	222	206	UP
ENSG00000237491	141	213	146	34	135	94	97	63	UP
ENSG00000230092	50	27	34	7	28	34	16	10	UP
ENSG00000177757	37	32	20	8	14	14	16	13	UP
ENSG00000228794	479	1349	1128	245	768	692	1592	1179	UP
ENSG00000225880	94	51	45	8	11	37	35	23	UP
ENSG00000230368	3	1	63	25	3	0	0	0	UP
ENSG00000234711	0	8	19	2	0	1	0	1	UP
ENSG00000283040	0	0	5	0	2	0	0	0	UP
ENSG00000230699	0	0	0	0	0	0	2	0	UP
ENSG00000223764	1	0	1	0	0	0	0	1	UP
ENSG00000187634	2	5	8	2	1	4	47	25	UP
ENSG00000188976	2197	4319	2898	654	751	1747	3311	2508	UP
ENSG00000187961	341	483	123	36	50	211	273	206	UP
ENSG00000187583	13	37	3	4	2	7	57	46	UP
ENSG00000187642	1	10	2	0	1	2	15	4	UP
ENSG00000272512	3	11	8	1	1	22	8	2	UP
ENSG00000188290	7	19	48	10	3	20	13	6	UP
ENSG00000187608	261	3140	1126	238	26	169	401	251	UP
ENSG00000224969	4	3	2	0	3	2	3	2	UP
ENSG00000188157	325	462	238	45	12	56	383	291	UP
ENSG00000217801	115	725	163	35	49	70	943	720	UP
ENSG00000273443	0	88	21	8	1	10	111	85	UP
ENSG00000237330	2	13	3	2	2	1	25	17	UP
ENSG00000131591	637	1259	601	130	47	258	586	459	UP
ENSG00000223823	19	3	8	1	1	4	2	4	UP
ENSG00000272141	3	2	2	1	0	1	0	1	UP
ENSG00000162571	0	8	11	1	0	4	1	2	UP
ENSG00000186891	13	673	406	83	6	119	106	66	UP
ENSG00000186827	26	281	366	84	3	109	90	68	UP
ENSG00000078808	2373	7129	4642	1008	761	2149	5311	4232	UP
ENSG00000176022	169	537	493	108	53	121	484	334	UP
ENSG00000184163	74	59	68	18	7	17	104	61	UP
ENSG00000260179	83	69	36	5	17	20	84	64	UP
ENSG00000160087	1152	2600	1880	424	397	1017	1769	1338	UP
ENSG00000230415	48	28	20	4	4	11	24	12	UP
ENSG00000162572	358	155	153	43	40	142	101	96	UP
ENSG00000131584	1282	1443	889	198	108	508	633	498	UP
ENSG00000169972	111	292	170	39	16	94	209	148	UP
ENSG00000127054	4996	6908	3394	738	842	2101	4300	3353	UP
ENSG00000240731	245	368	170	30	94	141	284	189	UP
ENSG00000224051	499	610	384	79	14	129	508	392	UP
ENSG00000169962	993	32	88	20	4	27	52	52	UP
ENSG00000107404	1444	2086	383	82	47	338	1458	1202	UP
ENSG00000162576	308	620	82	18	40	139	39	33	UP
ENSG00000175756	696	1401	1135	276	119	404	748	515	UP
ENSG00000223663	0	5	1	1	3	2	4	5	UP
ENSG00000221978	14984	20872	11984	2931	4393	9389	13461	9639	UP
ENSG00000224870	493	1516	1273	300	196	602	685	543	UP
ENSG00000242485	1957	2278	1643	327	348	969	1297	924	UP
ENSG00000272455	62	88	93	15	80	81	68	43	UP
ENSG00000235098	6	1	0	0	1	2	2	1	UP
ENSG00000179403	0	2	2	0	0	0	0	0	UP
ENSG00000215915	33	18	0	1	1	3	2	0	UP
ENSG00000160072	1451	4109	3274	771	415	1571	2895	2276	UP
ENSG00000197785	307	1102	705	192	44	195	694	554	UP
ENSG00000205090	1	7	6	1	0	0	3	3	UP
ENSG00000160075	3867	4797	3406	845	1137	2058	3452	2327	UP
ENSG00000215014	34	17	24	7	7	7	7	5	UP
ENSG00000228594	21	7	39	7	0	3	1	4	UP
ENSG00000272106	342	324	266	65	75	113	149	98	UP
ENSG00000197530	2003	2818	1783	357	197	769	906	734	UP
ENSG00000189409	1	1	1	0	0	0	0	0	UP
ENSG00000248333	2475	5240	4063	910	1189	1798	3704	2506	UP
ENSG00000272004	1	3	2	0	0	3	1	0	UP
ENSG00000189339	3623	8652	2869	686	786	1458	2513	2061	UP
ENSG00000269737	574	720	267	61	170	188	450	316	UP
ENSG00000215914	5	2	1	0	0	1	0	2	UP
ENSG00000008128	240	363	157	38	36	58	229	159	UP
ENSG00000268575	223	249	69	15	44	61	155	122	UP
ENSG00000227775	437	409	89	19	100	229	1031	776	UP
ENSG00000215790	265	395	101	28	43	76	164	130	UP
ENSG00000008130	4339	6218	5049	1147	1165	1961	4065	3137	UP
ENSG00000078369	10108	19928	12630	2785	6727	7202	25783	19419	UP
ENSG00000231050	14	8	1	0	2	0	0	1	UP
ENSG00000169885	36	11	10	4	8	5	16	8	UP
ENSG00000067606	754	865	170	35	340	282	707	520	UP
ENSG00000271806	49	23	1	2	21	8	21	16	UP
ENSG00000182873	450	340	88	22	105	117	267	225	UP
ENSG00000162585	955	1123	688	169	138	493	505	420	UP
ENSG00000157933	2858	7870	8248	1787	4538	5590	15845	11565	UP
ENSG00000116151	301	343	122	31	75	92	105	78	UP
ENSG00000272161	3	2	2	0	7	4	2	4	UP
ENSG00000269896	122	96	15	4	16	33	5	11	UP
ENSG00000272420	31	27	3	2	8	21	4	2	UP
ENSG00000157916	2554	5933	3326	773	1282	2129	4620	3355	UP
ENSG00000157911	277	290	164	27	46	103	148	121	UP
